id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,predicted_cluster
5FhuhHLuXrYQHizyCLMpnR,1er coeur,60,205187,1,"['Kaaris', 'GIMS']","['1ntQKIMIgESKpKoNXVBvQg', '0GOx72r5AAEKRGQFn3xqXK']",2020-09-03,0.834,0.591,6,-7.842,0,0.254,0.136,0.0,0.237,0.834,93.996,4,1
5Ls3iMwFWmgtdXpqzXIujo,Ego Tha S' Agapo Kai Mi Se Noiazei,31,153880,0,"['Loukianos Kilaidonis', 'Margarita Zorbala']","['1Hw5doS36InZblqXc4lUil', '0Z3eLpFNzjJpfUWPu15b2T']",2007-10-19,0.786,0.634,5,-8.178,0,0.067,0.664,0.00196,0.163,0.795,110.094,4,1
0LNn2O06dvsZqvWaS870xJ,Tu Cárcel,72,212227,0,['Los Bukis'],['16kOCiqZ1auY4sokSeZuKf'],2003-01-01,0.815,0.61,7,-13.603,1,0.0279,0.355,0.0,0.0764,0.864,100.027,4,1
2gDESZOQKJK91LYAdtBRu1,Las Tres Mujeres,53,180653,0,['Saul Viera El Gavilancillo'],['3tLdnHmnfkIdQq5cyFDl69'],2013-12-03,0.807,0.614,8,-8.963,1,0.107,0.177,0.0,0.134,0.837,102.139,4,1
1BXastKgdI3AiFipVt69Fv,Jettin',50,279373,0,['Digable Planets'],['0gqIrDRL7CEPBWMmkuZPdQ'],1994-01-01,0.843,0.585,1,-14.268,1,0.0652,0.64,0.0456,0.131,0.835,91.937,4,1
1XSlcZyJbBVmJt4rLKi0v3,Drumskate,14,117907,0,['Éric Serra'],['1DptMAbvFajxK4ZObg1OdA'],1985-04-10,0.8,0.623,5,-12.919,0,0.0592,0.00846,0.934,0.0735,0.835,105.864,4,1
6muN7dqmfSEPjAY0I64014,Amores,57,223440,0,['Lary Over'],['1jSjfSgDjedJdi5MoyRu78'],2019-03-29,0.834,0.594,0,-6.268,1,0.13,0.817,0.00143,0.0883,0.6,95.03,4,1
2yQBDZfOxUudxE1wYUfeuq,Easy,53,173280,0,['Cro'],['3utZ2yeQk0Z3BCOBWP7Vlu'],2013-07-05,0.827,0.594,7,-6.533,1,0.0343,0.0877,0.0,0.116,0.962,95.551,4,1
2XlLHcTNLBkxqCdKasBrRM,Bobo au cœur,62,221680,0,['Dadju'],['4sbXXFzEWJY2zsZjelerjX'],2020-09-25,0.818,0.604,2,-5.569,0,0.0661,0.0772,0.0,0.32,0.544,97.978,4,1
2MQUTZtyF7azClmtcbQwFB,クルージング・オン,25,265800,0,['Bread And Butter'],['3OldswvDMARe1uWLYSrdEz'],1980,0.778,0.64,2,-8.236,1,0.0304,0.204,0.000125,0.13,0.781,112.237,4,2
7kl1W8m2O8j3LvE7RCowYR,クルージング・オン,24,265800,0,['Bread And Butter'],['3OldswvDMARe1uWLYSrdEz'],1980,0.778,0.64,2,-8.236,1,0.0305,0.198,0.000122,0.13,0.771,112.237,4,2
4rO5VOxTbRSRuuwCQ5D1Bl,Simple Things,49,280467,0,['Usher'],['23zg3TcAtWQy7J6upgbUnj'],2004-03-23,0.844,0.579,1,-5.202,1,0.0516,0.0604,0.0,0.0588,0.775,90.489,4,1
6UeMjHhzYnidHi7I4isoGg,Most Wanted,58,184091,0,"['AP Dhillon', 'Gurinder Gill', 'Gminxr']","['6LEG9Ld1aLImEFEVHdWNSB', '5DHi2MeoRgAwPE0A0qwRMl', '4vvW590Gq8dNWsP5BM9FkS']",2020-03-06,0.85,0.573,8,-6.759,1,0.274,0.0439,0.0,0.0871,0.49,88.05,4,1
