artista,cancion,URI
Alexis y Fido,5 letras,0tDSgSmZsbxCkdkfUPjg59
Alexis y Fido,Camuflage,20fQVuio8RcGPleqONoGx6
Alexis y Fido,Mala conducta,3tI4duDhHmmz1Sp7RX0Jbq
Angel Y Khriz,Ven bailalo - Reggaeton Mix,0e8DgtfJnWTBarF9YGMd0N
Bad Bunny,Me porto bonito,6Sq7ltF9Qa7SNFBsV5Cogx
Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y
Daddy Yankee,Gasolina,228BxWXUYQPJrJYHDLOHkj
Daddy Yankee,Latigazo,3c5sB8wjUpxJKKDaRrdGAH
Daddy Yankee,"Lo que paso, paso",26QKsGW4hMuwiEE1ftUMHe
Daddy Yankee,Segurosqui,5CuHF558d4fP0PdHueBzdl
Daddy Yankee,Son las doce,6gUh4NMGo2V3FFgwdPB1Qq
Daddy Yankee,Salgo pa' la calle,5hpwyyJJ2JyozFVVRJsfLp
Don Omar,Dale don dale,1PZrHbJjt5t7dP9OGRxcD0
Don Omar,Dile,69Ej1xrGjOcHvIMtMKxK0G
Don Omar,Quimica,2Mzcwt5vaOj9gGAD2bvDAo
Don Omar,Tu cuerpo me arrebata,7iaBCftpUSjnBERFcyQxO9
"Hector ""El Father""",Esta noche es de travesuras,0AEVupnoNEKPU81AOuPwjS
"Hector ""El Father""",Hola Bebe,33y08bwbpU8Fn8KzBm5lAy
Hector & Tito,Bailar morena,4qbi9JDziBh3cxi9SFUbeu
Hector & Tito,Felina,3QLApyuGYQdSQZTmBXFaSt
Hector & Tito,Si estoy facil,25dXuQZNcO7wTJ2hGR8vWg
Ivy Queen,Quiero bailar,7mY1dIaY9vY6Jrlrjg3dRn
Jowell & Randy,Dos palgas,1ohrqIMhros7Gi7mX80WB6
Jowell & Randy,Funeral de la canoa,6nEyuINu7igqa8lGITAUPk
Ñejo & Dalmata,"Sexo, sudor & calor",6PyYp74gLgXkNYH3YcbAfn
Nicky Jam,Buscando placer,1jll3gpUENoW7hlJo5ezW5
Nicky Jam,En la cama,2Eg6dOam7cAe5turf2bnCg
Nicky Jam,Yo no soy tu marido,2h9ymIolsmYaqwtxn69fXj
Plan B,Guatauba,0xJFWROBNTBL4sKEuA5pm6
Randy,Let's go to my crib,4SarxFaP7ObsGVqqztIjTO
Randy,welcome to my crib,3taCy6SW79HbVJotZc03gB
Tego Calderon,Al natural,3tCdDVn9yseorLuljdFugA
Tego Calderon,Pa' que retozen,5YJ4BVvTFmVCxUyhKejHfR
Tony Dize,Solos,0WKd91LoIHCFIhDmgewjhy
Wisin,Saoco,5c9CsmVAhOQ5jQKwmNd5fk
Wisin & Yandel,Aventura,3iRMZq3iIaIBW5bH4VgWtM
Wisin & Yandel,En busca de ti,6fcVl1PLpJ0CQOAtbAdkZM
Wisin & Yandel,La sata,5caLDAeZUFx2euDQc3qXwU
Wisin & Yandel,Mayor que yo,0yy6SegPRLQU03ftqy8w6L
Wisin & Yandel,Mirala bien,04uA3BJ1Rj8DBKkpKCABJx
Wisin & Yandel,Paleta,4BHxiwDg9fTfEsPbEgGwHm
Wisin & Yandel,Pegate,5cwcxBgYP6LyYxPedNaXIE
Wisin & Yandel,Rakata,1kQqiC1rS1FiuVpeBKN0QN
Yaga & Mackie,Si tu me calietas,4xbpR5hcFLY3UcXk4PKqhh
Yandel,La calle me lo pidio,2h2BxMOTXrYAApqWQ6ZqTy
Yaviah,Wiki wiki,3zyu1YrtgFRdrc16HIQior
Zion & Lennox,Hay algo en ti,15PxHZffHMndHQjmzYuGUv
Zion & Lennox,Me pones en tension,5WVZfMIrS6hbvwG8hpRHCR
Zion & Lennox,Que vas hacer,2fluIBSYliMwB4OMH9soFP
Zion & Lennox,Yo voy,5gflgO9EPbIBf16n5TKnQS
