index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0,0.82,0.788,6,-5.478,0,0.191,0.272,1.65e-06,0.0404,0.648,93.961,audio_features,0tDSgSmZsbxCkdkfUPjg59,spotify:track:0tDSgSmZsbxCkdkfUPjg59,https://api.spotify.com/v1/tracks/0tDSgSmZsbxCkdkfUPjg59,https://api.spotify.com/v1/audio-analysis/0tDSgSmZsbxCkdkfUPjg59,195573,4,1
1,0.743,0.821,3,-6.047,0,0.06,0.423,0.0,0.325,0.828,82.061,audio_features,20fQVuio8RcGPleqONoGx6,spotify:track:20fQVuio8RcGPleqONoGx6,https://api.spotify.com/v1/tracks/20fQVuio8RcGPleqONoGx6,https://api.spotify.com/v1/audio-analysis/20fQVuio8RcGPleqONoGx6,218000,4,1
2,0.711,0.841,6,-4.775,0,0.0917,0.231,9.85e-05,0.191,0.964,176.027,audio_features,3tI4duDhHmmz1Sp7RX0Jbq,spotify:track:3tI4duDhHmmz1Sp7RX0Jbq,https://api.spotify.com/v1/tracks/3tI4duDhHmmz1Sp7RX0Jbq,https://api.spotify.com/v1/audio-analysis/3tI4duDhHmmz1Sp7RX0Jbq,257880,4,2
3,0.675,0.919,11,-6.075,0,0.0366,0.0606,0.00653,0.103,0.726,97.018,audio_features,0e8DgtfJnWTBarF9YGMd0N,spotify:track:0e8DgtfJnWTBarF9YGMd0N,https://api.spotify.com/v1/tracks/0e8DgtfJnWTBarF9YGMd0N,https://api.spotify.com/v1/audio-analysis/0e8DgtfJnWTBarF9YGMd0N,252773,4,0
4,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,audio_features,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567,4,1
5,0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,audio_features,2DEZmgHKAvm41k4J3R2E9Y,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,https://api.spotify.com/v1/tracks/2DEZmgHKAvm41k4J3R2E9Y,https://api.spotify.com/v1/audio-analysis/2DEZmgHKAvm41k4J3R2E9Y,295177,4,1
6,0.852,0.797,0,-6.543,1,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,audio_features,228BxWXUYQPJrJYHDLOHkj,spotify:track:228BxWXUYQPJrJYHDLOHkj,https://api.spotify.com/v1/tracks/228BxWXUYQPJrJYHDLOHkj,https://api.spotify.com/v1/audio-analysis/228BxWXUYQPJrJYHDLOHkj,192600,4,1
7,0.845,0.836,6,-5.187,1,0.106,0.544,5e-06,0.431,0.956,97.978,audio_features,3c5sB8wjUpxJKKDaRrdGAH,spotify:track:3c5sB8wjUpxJKKDaRrdGAH,https://api.spotify.com/v1/tracks/3c5sB8wjUpxJKKDaRrdGAH,https://api.spotify.com/v1/audio-analysis/3c5sB8wjUpxJKKDaRrdGAH,151876,4,1
8,0.819,0.741,8,-6.538,0,0.0412,0.104,0.0,0.283,0.84,97.014,audio_features,26QKsGW4hMuwiEE1ftUMHe,spotify:track:26QKsGW4hMuwiEE1ftUMHe,https://api.spotify.com/v1/tracks/26QKsGW4hMuwiEE1ftUMHe,https://api.spotify.com/v1/audio-analysis/26QKsGW4hMuwiEE1ftUMHe,210933,4,0
9,0.888,0.889,10,-7.146,0,0.0909,0.0439,3.51e-06,0.201,0.902,99.026,audio_features,5CuHF558d4fP0PdHueBzdl,spotify:track:5CuHF558d4fP0PdHueBzdl,https://api.spotify.com/v1/tracks/5CuHF558d4fP0PdHueBzdl,https://api.spotify.com/v1/audio-analysis/5CuHF558d4fP0PdHueBzdl,223800,4,0
10,0.83,0.855,0,-7.072,1,0.171,0.307,7.6e-06,0.27,0.869,96.878,audio_features,6gUh4NMGo2V3FFgwdPB1Qq,spotify:track:6gUh4NMGo2V3FFgwdPB1Qq,https://api.spotify.com/v1/tracks/6gUh4NMGo2V3FFgwdPB1Qq,https://api.spotify.com/v1/audio-analysis/6gUh4NMGo2V3FFgwdPB1Qq,196598,4,1
11,0.434,0.765,1,-5.636,1,0.139,0.038,7.96e-06,0.185,0.532,179.908,audio_features,5hpwyyJJ2JyozFVVRJsfLp,spotify:track:5hpwyyJJ2JyozFVVRJsfLp,https://api.spotify.com/v1/tracks/5hpwyyJJ2JyozFVVRJsfLp,https://api.spotify.com/v1/audio-analysis/5hpwyyJJ2JyozFVVRJsfLp,267747,4,2
12,0.831,0.818,2,-7.827,1,0.0825,0.0242,0.000336,0.0892,0.807,95.023,audio_features,1PZrHbJjt5t7dP9OGRxcD0,spotify:track:1PZrHbJjt5t7dP9OGRxcD0,https://api.spotify.com/v1/tracks/1PZrHbJjt5t7dP9OGRxcD0,https://api.spotify.com/v1/audio-analysis/1PZrHbJjt5t7dP9OGRxcD0,212413,4,1
13,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,audio_features,69Ej1xrGjOcHvIMtMKxK0G,spotify:track:69Ej1xrGjOcHvIMtMKxK0G,https://api.spotify.com/v1/tracks/69Ej1xrGjOcHvIMtMKxK0G,https://api.spotify.com/v1/audio-analysis/69Ej1xrGjOcHvIMtMKxK0G,204600,4,1
14,0.821,0.925,9,-5.18,1,0.152,0.204,0.00028,0.0927,0.599,93.986,audio_features,2Mzcwt5vaOj9gGAD2bvDAo,spotify:track:2Mzcwt5vaOj9gGAD2bvDAo,https://api.spotify.com/v1/tracks/2Mzcwt5vaOj9gGAD2bvDAo,https://api.spotify.com/v1/audio-analysis/2Mzcwt5vaOj9gGAD2bvDAo,208893,4,0
15,0.819,0.645,10,-6.703,0,0.0479,0.232,0.000863,0.178,0.725,94.997,audio_features,7iaBCftpUSjnBERFcyQxO9,spotify:track:7iaBCftpUSjnBERFcyQxO9,https://api.spotify.com/v1/tracks/7iaBCftpUSjnBERFcyQxO9,https://api.spotify.com/v1/audio-analysis/7iaBCftpUSjnBERFcyQxO9,203653,4,0
16,0.83,0.674,9,-6.946,1,0.189,0.322,0.0,0.0667,0.399,92.009,audio_features,0AEVupnoNEKPU81AOuPwjS,spotify:track:0AEVupnoNEKPU81AOuPwjS,https://api.spotify.com/v1/tracks/0AEVupnoNEKPU81AOuPwjS,https://api.spotify.com/v1/audio-analysis/0AEVupnoNEKPU81AOuPwjS,210547,4,0
17,0.741,0.735,3,-8.158,0,0.1,0.516,0.0,0.861,0.609,96.007,audio_features,33y08bwbpU8Fn8KzBm5lAy,spotify:track:33y08bwbpU8Fn8KzBm5lAy,https://api.spotify.com/v1/tracks/33y08bwbpU8Fn8KzBm5lAy,https://api.spotify.com/v1/audio-analysis/33y08bwbpU8Fn8KzBm5lAy,227853,4,1
18,0.786,0.819,0,-5.062,1,0.108,0.207,0.0,0.0969,0.775,94.002,audio_features,4qbi9JDziBh3cxi9SFUbeu,spotify:track:4qbi9JDziBh3cxi9SFUbeu,https://api.spotify.com/v1/tracks/4qbi9JDziBh3cxi9SFUbeu,https://api.spotify.com/v1/audio-analysis/4qbi9JDziBh3cxi9SFUbeu,187080,4,1
19,0.849,0.922,6,-6.604,0,0.0684,0.0275,0.00862,0.0809,0.71,93.001,audio_features,3QLApyuGYQdSQZTmBXFaSt,spotify:track:3QLApyuGYQdSQZTmBXFaSt,https://api.spotify.com/v1/tracks/3QLApyuGYQdSQZTmBXFaSt,https://api.spotify.com/v1/audio-analysis/3QLApyuGYQdSQZTmBXFaSt,216440,4,1
20,0.596,0.633,1,-13.723,0,0.525,0.0259,0.0,0.0417,0.82,96.865,audio_features,25dXuQZNcO7wTJ2hGR8vWg,spotify:track:25dXuQZNcO7wTJ2hGR8vWg,https://api.spotify.com/v1/tracks/25dXuQZNcO7wTJ2hGR8vWg,https://api.spotify.com/v1/audio-analysis/25dXuQZNcO7wTJ2hGR8vWg,199200,4,1
21,0.836,0.842,5,-5.233,1,0.105,0.285,0.0,0.277,0.757,94.946,audio_features,7mY1dIaY9vY6Jrlrjg3dRn,spotify:track:7mY1dIaY9vY6Jrlrjg3dRn,https://api.spotify.com/v1/tracks/7mY1dIaY9vY6Jrlrjg3dRn,https://api.spotify.com/v1/audio-analysis/7mY1dIaY9vY6Jrlrjg3dRn,186507,4,1
22,0.789,0.815,11,-7.991,0,0.0516,0.181,0.121,0.145,0.763,95.009,audio_features,1ohrqIMhros7Gi7mX80WB6,spotify:track:1ohrqIMhros7Gi7mX80WB6,https://api.spotify.com/v1/tracks/1ohrqIMhros7Gi7mX80WB6,https://api.spotify.com/v1/audio-analysis/1ohrqIMhros7Gi7mX80WB6,203667,4,0
23,0.882,0.893,7,-1.31,1,0.106,0.158,5.76e-05,0.0876,0.656,95.018,audio_features,6nEyuINu7igqa8lGITAUPk,spotify:track:6nEyuINu7igqa8lGITAUPk,https://api.spotify.com/v1/tracks/6nEyuINu7igqa8lGITAUPk,https://api.spotify.com/v1/audio-analysis/6nEyuINu7igqa8lGITAUPk,298000,4,1
24,0.745,0.887,0,-5.252,1,0.0504,0.21,0.0,0.07,0.963,167.971,audio_features,6PyYp74gLgXkNYH3YcbAfn,spotify:track:6PyYp74gLgXkNYH3YcbAfn,https://api.spotify.com/v1/tracks/6PyYp74gLgXkNYH3YcbAfn,https://api.spotify.com/v1/audio-analysis/6PyYp74gLgXkNYH3YcbAfn,251395,4,2
25,0.872,0.607,5,-10.231,0,0.108,0.132,0.0,0.0447,0.842,94.981,audio_features,1jll3gpUENoW7hlJo5ezW5,spotify:track:1jll3gpUENoW7hlJo5ezW5,https://api.spotify.com/v1/tracks/1jll3gpUENoW7hlJo5ezW5,https://api.spotify.com/v1/audio-analysis/1jll3gpUENoW7hlJo5ezW5,123573,4,0
26,0.855,0.912,10,-4.832,0,0.145,0.183,0.0,0.122,0.885,104.072,audio_features,2Eg6dOam7cAe5turf2bnCg,spotify:track:2Eg6dOam7cAe5turf2bnCg,https://api.spotify.com/v1/tracks/2Eg6dOam7cAe5turf2bnCg,https://api.spotify.com/v1/audio-analysis/2Eg6dOam7cAe5turf2bnCg,157023,4,0
27,0.805,0.661,10,-7.176,0,0.0525,0.0711,5.42e-05,0.245,0.776,94.989,audio_features,2h9ymIolsmYaqwtxn69fXj,spotify:track:2h9ymIolsmYaqwtxn69fXj,https://api.spotify.com/v1/tracks/2h9ymIolsmYaqwtxn69fXj,https://api.spotify.com/v1/audio-analysis/2h9ymIolsmYaqwtxn69fXj,201692,4,0
28,0.804,0.745,4,-5.963,0,0.229,0.00849,0.000942,0.0378,0.635,183.985,audio_features,0xJFWROBNTBL4sKEuA5pm6,spotify:track:0xJFWROBNTBL4sKEuA5pm6,https://api.spotify.com/v1/tracks/0xJFWROBNTBL4sKEuA5pm6,https://api.spotify.com/v1/audio-analysis/0xJFWROBNTBL4sKEuA5pm6,162400,4,2
