index,artists,name
0,['Alexis y Fido'],5 Letras
1,['Alexis y Fido'],Camuflaje
2,"['Alexis y Fido', 'Franco ""El Gorilla""']",Mala Conducta (feat. Franco El Gorila)
3,['Angel Y Khriz'],Ven Bailalo - Reggaeton Mix
4,"['Bad Bunny', 'Chencho Corleone']",Me Porto Bonito
5,"['Bad Bunny', 'Jowell & Randy', 'Ñengo Flow']",Safaera
6,['Daddy Yankee'],Gasolina
7,['Daddy Yankee'],Latigazo
8,['Daddy Yankee'],"Lo Que Pasó, Pasó"
9,['Daddy Yankee'],Segurosqui
10,['Daddy Yankee'],Son las Doce
11,"['Daddy Yankee', 'Randy']",Salgo Pa' la Calle
12,['Don Omar'],Dale Don Dale
13,['Don Omar'],Dile
14,"['Don Omar', 'Wiso G']",Química
15,"['Don Omar', 'Trebol Clan']",Tu Cuerpo Me Arrebata
16,"['Héctor ""El Father""']",Esta Noche de Travesuras
17,"['Héctor ""El Father""', 'Jowell', 'Randy']",Hola Bebe
18,"['Hector & Tito', 'Luny Tunes', 'Noriega']","Baila Morena (with Luny Tunes, Noriega) - Remix"
19,['Hector & Tito'],Felina
20,['Hector & Tito'],Si Estoy Facil
21,['Ivy Queen'],Quiero Bailar
22,['Jowell & Randy'],Dos Palgas
23,['Jowell & Randy'],El Funeral De La Canoa
24,"['Ñejo & Dalmata', 'J Alvarez']","Sexo, Sudor & Calor"
25,['Nicky Jam'],Buscando Placer
26,"['Nicky Jam', 'Daddy Yankee']",En La Cama (feat. Daddy Yankee)
27,['Nicky Jam'],Yo no Soy Tu Marido
28,['Plan B'],Guatauba
29,"['Jowell & Randy', 'Voltio']",Let's Go To My Crib
30,['Randy'],Welcome To My Crib
31,['Tego Calderón'],Al Natural
32,['Tego Calderón'],Pa' Que Retozen
33,"['Tony Dize', 'Plan B']",Solos
34,"['Wisin', 'Daddy Yankee']",Saoco
35,"['Luny Tunes', 'Noriega', 'Wisin & Yandel']",Aventura
36,['Wisin & Yandel'],En Busca de Ti
37,['Wisin & Yandel'],La Sata
38,['Wisin & Yandel'],Mayor Que Yo
39,['Wisin & Yandel'],Mírala Bien
40,"['Wisin & Yandel', 'Daddy Yankee']",Paleta
41,['Wisin & Yandel'],Pegate
42,['Wisin & Yandel'],Rakata
43,['Yaga & Mackie'],Si Tú me Calientas
44,"['Yandel', 'Tego Calderón']",La Calle Me Lo Pidio
45,['Yaviah'],Wiki Wiki
46,"['Luny Tunes', 'Noriega', 'Zion & Lennox', 'Tito ""El Bambino""']",Hay Algo en Ti
47,"['The Noise', 'Zion & Lennox']",Me Pones en Tensión
48,['Zion & Lennox'],Que Vas a Hacer
49,['Zion & Lennox'],Yo Voy (feat. Daddy Yankee)
