id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0tDSgSmZsbxCkdkfUPjg59,5 Letras,66,195573,0,['Alexis y Fido'],['7tU1VKOuxiNZwBZC6RHidA'],2007-09-28,0.82,0.788,6,-5.478,0,0.191,0.272,1.65e-06,0.0404,0.648,93.961,4
20fQVuio8RcGPleqONoGx6,Camuflaje,62,218000,0,['Alexis y Fido'],['7tU1VKOuxiNZwBZC6RHidA'],2011-03-21,0.743,0.821,3,-6.047,0,0.06,0.423,0.0,0.325,0.828,82.061,4
3tI4duDhHmmz1Sp7RX0Jbq,Mala Conducta (feat. Franco El Gorila),64,257880,0,"['Alexis y Fido', 'Franco ""El Gorilla""']","['7tU1VKOuxiNZwBZC6RHidA', '2biH2I1TvZlIIIc5W14oIJ']",2011-03-21,0.711,0.841,6,-4.775,0,0.0917,0.231,9.85e-05,0.191,0.964,176.027,4
5nZYc9ZDMhlXv6iWahZTU8,Ven Bailalo - Reggaeton Mix,74,252773,0,['Angel Y Khriz'],['7npqy7rgdX2D3yfVyWExKo'],2005-07-22,0.675,0.919,11,-6.075,0,0.0366,0.0606,0.00653,0.103,0.726,97.017,4
6zMUIb4uce1CzpbjR3vMdN,Foolish,72,227387,1,['Ashanti'],['5rkVyNGXEgeUqKkB5ccK83'],2002-01-01,0.665,0.695,0,-5.763,1,0.0532,0.347,0.0,0.106,0.707,90.119,4
2DEZmgHKAvm41k4J3R2E9Y,Safaera,83,295177,1,"['Bad Bunny', 'Jowell & Randy', 'Ñengo Flow']","['4q3ewBCX7sLwd24euuV69X', '4IMAo2UQchVFyPH24PAjUs', '12vb80Km0Ew53ABfJOepVz']",2020-02-28,0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,4
4hdBrqaAhtFJbuU0SKd644,Ide Mi,23,231613,1,"['DMS', 'Danosť']","['74T1WwwA8A9fXkT3jhk49D', '38K9tW2m4ttPOYx1Ry1rN7']",2008-01-01,0.809,0.796,1,-4.193,1,0.258,0.427,0.0,0.118,0.779,96.984,4
7nWsh14AHpnTzq1Xejz90U,No More Drama,54,326240,0,['Mary J. Blige'],['1XkoF8ryArs86LZvFOkbyr'],2001-01-01,0.653,0.837,6,-6.818,0,0.124,0.534,7.12e-05,0.0784,0.64,97.914,4
36AiFKPVq8Hg9qkDdlS9Ay,Поломка,46,130907,0,['SALUKI'],['07tFgedhta5b5WaF0Yj4bH'],2019-06-07,0.699,0.677,11,-7.089,1,0.0753,0.00214,0.0,0.143,0.275,92.061,4
50RLGYWZRzRJECGhdWn1ZS,Segurosqui,43,223800,0,['Daddy Yankee'],['4VMYDCV2IEDYJArk749S6m'],2003-09-23,0.889,0.888,10,-7.116,0,0.0923,0.0405,4.63e-06,0.196,0.892,99.026,4
7Kmfjms3yyhg2y56mN7EfZ,El Día De Mi Suerte,62,328787,0,"['Willie Colón', 'Héctor Lavoe']","['7x5Slu7yTE5icZjNsc3OzW', '7opp16lU7VM3l2WBdGMYHP']",1973-12-31,0.56,0.855,0,-5.232,0,0.0529,0.605,0.0,0.0532,0.96,97.097,4
0vhI063Gt6hSGmu7a1vwEi,Ma il cuore no,20,244533,0,"['Al Bano', 'Romina Power']","['2gpELJDuhOQi1DPcI0VFvw', '2ZUY3LkHAoSiPSO7tXNwZM']",1987-12-09,0.468,0.76,0,-10.726,1,0.0548,0.252,3.39e-06,0.26,0.383,196.194,4
1PZrHbJjt5t7dP9OGRxcD0,Dale Don Dale,69,212413,0,['Don Omar'],['33ScadVnbm2X8kkUqOkC6Z'],2003-01-01,0.831,0.818,2,-7.827,1,0.0825,0.0242,0.000336,0.0892,0.807,95.023,4
